x,y
3.000000e-01,9.174325e-01
4.000000e-01,8.620468e-01
5.000000e-01,7.999709e-01
6.000000e-01,7.352887e-01
7.000000e-01,6.711695e-01
8.000000e-01,6.097925e-01
9.000000e-01,5.524935e-01
1.000000e+00,4.999703e-01
1.100000e+00,4.524512e-01
1.200000e+00,4.098283e-01
1.300000e+00,3.717761e-01
1.400000e+00,3.378732e-01
1.500000e+00,3.076984e-01
1.600000e+00,2.808707e-01
1.700000e+00,2.570374e-01
1.800000e+00,2.358466e-01
1.900000e+00,2.169478e-01
2.000000e+00,2.000269e-01
2.100000e+00,1.848393e-01
2.200000e+00,1.712045e-01
2.300000e+00,1.589627e-01
2.400000e+00,1.479400e-01
2.500000e+00,1.379585e-01
2.600000e+00,1.288759e-01
2.700000e+00,1.206084e-01
2.800000e+00,1.130997e-01
2.900000e+00,1.062733e-01
3.000000e+00,1.000234e-01
3.100000e+00,9.426086e-02
3.200000e+00,8.895082e-02
3.300000e+00,8.408652e-02
3.400000e+00,7.962696e-02
3.500000e+00,7.549190e-02
3.600000e+00,7.163014e-02
3.700000e+00,6.805360e-02
3.800000e+00,6.476778e-02
3.900000e+00,6.170941e-02
4.000000e+00,5.882041e-02
4.100000e+00,5.613098e-02
4.200000e+00,5.365812e-02
4.300000e+00,5.131838e-02
4.400000e+00,4.909881e-02
4.500000e+00,4.706774e-02
4.600000e+00,4.512830e-02
4.700000e+00,4.330134e-02
4.800000e+00,4.160257e-02
4.900000e+00,3.999496e-02
x,y
-5.000000e+00,3.844624e-02
-4.900000e+00,3.999497e-02
-4.800000e+00,4.160257e-02
-4.700000e+00,4.330136e-02
-4.600000e+00,4.512830e-02
-4.500000e+00,4.706777e-02
-4.400000e+00,4.909883e-02
-4.300000e+00,5.131839e-02
-4.200000e+00,5.365815e-02
-4.100000e+00,5.613099e-02
-4.000000e+00,5.882040e-02
-3.900000e+00,6.170938e-02
-3.800000e+00,6.476779e-02
-3.700000e+00,6.805357e-02
-3.600000e+00,7.163011e-02
-3.500000e+00,7.549190e-02
-3.400000e+00,7.962696e-02
-3.300000e+00,8.408654e-02
-3.200000e+00,8.895084e-02
-3.100000e+00,9.426087e-02
-3.000000e+00,1.000235e-01
-2.900000e+00,1.062734e-01
-2.800000e+00,1.130997e-01
-2.700000e+00,1.206084e-01
-2.600000e+00,1.288760e-01
-2.500000e+00,1.379585e-01
-2.400000e+00,1.479401e-01
-2.300000e+00,1.589627e-01
-2.200000e+00,1.712045e-01
-2.100000e+00,1.848393e-01
-2.000000e+00,2.000268e-01
-1.900000e+00,2.169478e-01
-1.800000e+00,2.358467e-01
-1.700000e+00,2.570373e-01
-1.600000e+00,2.808705e-01
-1.500000e+00,3.076983e-01
-1.400000e+00,3.378733e-01
-1.300000e+00,3.717761e-01
-1.200000e+00,4.098282e-01
-1.100000e+00,4.524510e-01
-1.000000e+00,4.999705e-01
-9.000000e-01,5.524940e-01
-8.000000e-01,6.097926e-01
-7.000000e-01,6.711697e-01
-6.000000e-01,7.352888e-01
-5.000000e-01,7.999708e-01
-4.000000e-01,8.620469e-01
-3.000000e-01,9.174329e-01
-2.000000e-01,9.615523e-01
-1.000000e-01,9.901055e-01
0.000000e+00,1.000000e+00
1.000000e-01,9.901058e-01
2.000000e-01,9.615523e-01
3.000000e-01,9.174325e-01
4.000000e-01,8.620468e-01
5.000000e-01,7.999709e-01
6.000000e-01,7.352887e-01
7.000000e-01,6.711695e-01
8.000000e-01,6.097925e-01
9.000000e-01,5.524935e-01
1.000000e+00,4.999703e-01
1.100000e+00,4.524512e-01
1.200000e+00,4.098283e-01
1.300000e+00,3.717761e-01
1.400000e+00,3.378732e-01
1.500000e+00,3.076984e-01
1.600000e+00,2.808707e-01
1.700000e+00,2.570374e-01
1.800000e+00,2.358466e-01
1.900000e+00,2.169478e-01
2.000000e+00,2.000269e-01
2.100000e+00,1.848393e-01
2.200000e+00,1.712045e-01
2.300000e+00,1.589627e-01
2.400000e+00,1.479400e-01
2.500000e+00,1.379585e-01
2.600000e+00,1.288759e-01
2.700000e+00,1.206084e-01
2.800000e+00,1.130997e-01
2.900000e+00,1.062733e-01
3.000000e+00,1.000234e-01
3.100000e+00,9.426086e-02
3.200000e+00,8.895082e-02
3.300000e+00,8.408652e-02
3.400000e+00,7.962696e-02
3.500000e+00,7.549190e-02
3.600000e+00,7.163014e-02
3.700000e+00,6.805360e-02
3.800000e+00,6.476778e-02
3.900000e+00,6.170941e-02
4.000000e+00,5.882041e-02
4.100000e+00,5.613098e-02
4.200000e+00,5.365812e-02
4.300000e+00,5.131838e-02
4.400000e+00,4.909881e-02
4.500000e+00,4.706774e-02
4.600000e+00,4.512830e-02
4.700000e+00,4.330134e-02
4.800000e+00,4.160257e-02
4.900000e+00,3.999496e-02
