x,y
-5.000000e+00,3.844626e-02
-4.000000e+00,5.882039e-02
-3.000000e+00,1.000235e-01
-2.000000e+00,2.000268e-01
-1.000000e+00,4.999704e-01
0.000000e+00,1.000000e+00
1.000000e+00,4.999704e-01
2.000000e+00,2.000268e-01
3.000000e+00,1.000235e-01
4.000000e+00,5.882039e-02
x,y
-5.000000e+00,3.844626e-02
-4.000000e+00,5.882039e-02
-3.000000e+00,1.000235e-01
-2.000000e+00,2.000268e-01
-1.000000e+00,4.999704e-01
0.000000e+00,1.000000e+00
1.000000e+00,4.999704e-01
2.000000e+00,2.000268e-01
3.000000e+00,1.000235e-01
4.000000e+00,5.882039e-02
x,y
-5.000000e+00,3.844626e-02
-4.000000e+00,5.882039e-02
-3.000000e+00,1.000235e-01
-2.000000e+00,2.000268e-01
-1.000000e+00,4.999704e-01
0.000000e+00,1.000000e+00
1.000000e+00,4.999704e-01
2.000000e+00,2.000268e-01
3.000000e+00,1.000235e-01
4.000000e+00,5.882039e-02
